study,kind,record_index,phase,status,clock_boot_id,start_ns,finish_ns,duration_s,bytes_acquired,details
confirmation-14b,inherited_or_current_setup,50,source-acquisition,COMPLETED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,286156955950654,286157137960029,0.182009375,0,"{""ancestor"":{""attestation_boundary"":""Original receipt and pinned artifact bytes are verified; this operation does not rebuild, run git, certify an unchanged source checkout or authenticate the receipt author."",""historical_costs"":{""allocation_identity"":null,""allocation_scope"":""Legacy schema 1 has no allocation object; no ID, closure proof or complete allocation-wide wall total is invented."",""attributed_phase_ns"":247610059902,""finished_ns"":263574365322166,""recorded_bytes_acquired"":1568203429,""scope"":""Historical source setup only; never charged as current-allocation intervals. Full source records, including failures, are retained verbatim. Nested ancestor scopes, if present, remain separate rather than being summed twice."",""setup_span_ns"":809971719115,""started_ns"":262764393603051,""terminal_counts"":{""COMPLETED"":5,""FAILED"":3,""INTERRUPTED"":0},""unattributed_gap_ns"":562361659213},""schema_version"":1,""source_patch_sha256"":""598d10a911e4d9c33926bd2dfd75735d143b84db14ad644a7502f35bec8e0f1c"",""source_receipt_path"":"".cache/prepared-20260908-01/setup-with-protocol-recovery.json"",""source_receipt_raw_utf8"":""{\""artifacts\"":{\""backend_patch_sha256\"":\""598d10a911e4d9c33926bd2dfd75735d143b84db14ad644a7502f35bec8e0f1c\"",\""backend_revision\"":\""bb4caa7540188872173c44d161602d9271386413\"",\""model_sha256\"":\""8e0ae26000627ed62de0e78e41860af70094558b9d2913385c842a6aa06cf3fc\"",\""server_sha256\"":\""22bb24feddd1b44d0b793d044fd86dad4119b40d5485e58d9a6213d296cf71b2\""},\""boot_id\"":\""bf6e335a-b7ba-4c68-ba5f-b7c47549b388\"",\""records\"":[{\""bytes_acquired\"":203559997,\""details\"":\""source-acquisition; retained local logs and artifacts\"",\""finished_ns\"":262768334950432,\""phase\"":\""source-acquisition\"",\""started_ns\"":262764393603051,\""status\"":\""COMPLETED\""},{\""bytes_acquired\"":1266425774,\""details\"":\""model-acquisition; retained local logs and artifacts\"",\""finished_ns\"":262811996753960,\""phase\"":\""model-acquisition\"",\""started_ns\"":262768395958038,\""status\"":\""COMPLETED\""},{\""bytes_acquired\"":12121092,\""details\"":\""build; retained local logs and artifacts\"",\""finished_ns\"":262829398167912,\""phase\"":\""build\"",\""started_ns\"":262812057781123,\""status\"":\""FAILED\""},{\""bytes_acquired\"":56535198,\""details\"":\""GCC8 link configuration recovery; source unchanged; original failed build and all costs retained\"",\""finished_ns\"":263121629656133,\""phase\"":\""build\"",\""started_ns\"":262995593248208,\""status\"":\""FAILED\""},{\""bytes_acquired\"":29561368,\""details\"":\""GCC8 link configuration recovery; reviewed CTAD patch on pinned source; both original failed builds and all costs retained\"",\""finished_ns\"":263441225141148,\""phase\"":\""build\"",\""started_ns\"":263424104976025,\""status\"":\""COMPLETED\""},{\""bytes_acquired\"":0,\""details\"":\""local binary version and model/backend SHA-256 verification\"",\""finished_ns\"":263535450688659,\""phase\"":\""runtime-verification\"",\""started_ns\"":263534754333486,\""status\"":\""COMPLETED\""},{\""bytes_acquired\"":0,\""details\"":\""{\\\""attempt_id\\\"": \\\""attempt-79ef9215fce64bbb86824cbcd11c9d16\\\"", \\\""attempt_sha256\\\"": \\\""06d37917391d75f04de4862276c1c7f7c9c4051bee3d68b4495abed167427cb8\\\"", \\\""expected_requests\\\"": 128, \\\""missing_requests\\\"": 98, \\\""observed_requests\\\"": 30, \\\""prior_study\\\"": \\\""cpu-20260908-01\\\"", \\\""scope\\\"": \\\""original immutable failed client-normalization attempt; no candidate arm measured; not deleted or relabeled; positive efficiency claim remains ineligible for this allocation\\\"", \\\""status\\\"": \\\""INTERRUPTED\\\""}\"",\""finished_ns\"":263574302386372,\""phase\"":\""runtime-protocol-validation\"",\""started_ns\"":263535490720577,\""status\"":\""FAILED\""},{\""bytes_acquired\"":0,\""details\"":\""raw evidence hashing, immutable attempt publication and inventory reconciliation\"",\""finished_ns\"":263574365322166,\""phase\"":\""artifact-finalization\"",\""started_ns\"":263574302386372,\""status\"":\""COMPLETED\""}],\""schema_version\"":1}\n"",""source_receipt_sha256"":""6d9a4d46d03f2771b003b3d7ee3f5e0ae10e88567e8d44a98b2582cd6b58115c"",""source_revision"":""bb4caa7540188872173c44d161602d9271386413""},""ancestor_receipt_file"":""source-setup.json"",""ancestor_receipt_sha256"":""6d9a4d46d03f2771b003b3d7ee3f5e0ae10e88567e8d44a98b2582cd6b58115c"",""cost_boundary"":""This interval measures current verification only. Historical acquisition/build/failure costs remain a separate ancestor scope."",""explanation"":""Reuse and verify historical receipt, admitted profile and pinned source/patch identity; no source acquisition. Exact ancestor bytes and all historical cost records retained."",""newly_acquired_artifact_bytes"":0,""operation"":""reuse-and-verification""}"
development,inherited_or_current_setup,50,source-acquisition,COMPLETED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,286156955950654,286157137960029,0.182009375,0,"{""ancestor"":{""attestation_boundary"":""Original receipt and pinned artifact bytes are verified; this operation does not rebuild, run git, certify an unchanged source checkout or authenticate the receipt author."",""historical_costs"":{""allocation_identity"":null,""allocation_scope"":""Legacy schema 1 has no allocation object; no ID, closure proof or complete allocation-wide wall total is invented."",""attributed_phase_ns"":247610059902,""finished_ns"":263574365322166,""recorded_bytes_acquired"":1568203429,""scope"":""Historical source setup only; never charged as current-allocation intervals. Full source records, including failures, are retained verbatim. Nested ancestor scopes, if present, remain separate rather than being summed twice."",""setup_span_ns"":809971719115,""started_ns"":262764393603051,""terminal_counts"":{""COMPLETED"":5,""FAILED"":3,""INTERRUPTED"":0},""unattributed_gap_ns"":562361659213},""schema_version"":1,""source_patch_sha256"":""598d10a911e4d9c33926bd2dfd75735d143b84db14ad644a7502f35bec8e0f1c"",""source_receipt_path"":"".cache/prepared-20260908-01/setup-with-protocol-recovery.json"",""source_receipt_raw_utf8"":""{\""artifacts\"":{\""backend_patch_sha256\"":\""598d10a911e4d9c33926bd2dfd75735d143b84db14ad644a7502f35bec8e0f1c\"",\""backend_revision\"":\""bb4caa7540188872173c44d161602d9271386413\"",\""model_sha256\"":\""8e0ae26000627ed62de0e78e41860af70094558b9d2913385c842a6aa06cf3fc\"",\""server_sha256\"":\""22bb24feddd1b44d0b793d044fd86dad4119b40d5485e58d9a6213d296cf71b2\""},\""boot_id\"":\""bf6e335a-b7ba-4c68-ba5f-b7c47549b388\"",\""records\"":[{\""bytes_acquired\"":203559997,\""details\"":\""source-acquisition; retained local logs and artifacts\"",\""finished_ns\"":262768334950432,\""phase\"":\""source-acquisition\"",\""started_ns\"":262764393603051,\""status\"":\""COMPLETED\""},{\""bytes_acquired\"":1266425774,\""details\"":\""model-acquisition; retained local logs and artifacts\"",\""finished_ns\"":262811996753960,\""phase\"":\""model-acquisition\"",\""started_ns\"":262768395958038,\""status\"":\""COMPLETED\""},{\""bytes_acquired\"":12121092,\""details\"":\""build; retained local logs and artifacts\"",\""finished_ns\"":262829398167912,\""phase\"":\""build\"",\""started_ns\"":262812057781123,\""status\"":\""FAILED\""},{\""bytes_acquired\"":56535198,\""details\"":\""GCC8 link configuration recovery; source unchanged; original failed build and all costs retained\"",\""finished_ns\"":263121629656133,\""phase\"":\""build\"",\""started_ns\"":262995593248208,\""status\"":\""FAILED\""},{\""bytes_acquired\"":29561368,\""details\"":\""GCC8 link configuration recovery; reviewed CTAD patch on pinned source; both original failed builds and all costs retained\"",\""finished_ns\"":263441225141148,\""phase\"":\""build\"",\""started_ns\"":263424104976025,\""status\"":\""COMPLETED\""},{\""bytes_acquired\"":0,\""details\"":\""local binary version and model/backend SHA-256 verification\"",\""finished_ns\"":263535450688659,\""phase\"":\""runtime-verification\"",\""started_ns\"":263534754333486,\""status\"":\""COMPLETED\""},{\""bytes_acquired\"":0,\""details\"":\""{\\\""attempt_id\\\"": \\\""attempt-79ef9215fce64bbb86824cbcd11c9d16\\\"", \\\""attempt_sha256\\\"": \\\""06d37917391d75f04de4862276c1c7f7c9c4051bee3d68b4495abed167427cb8\\\"", \\\""expected_requests\\\"": 128, \\\""missing_requests\\\"": 98, \\\""observed_requests\\\"": 30, \\\""prior_study\\\"": \\\""cpu-20260908-01\\\"", \\\""scope\\\"": \\\""original immutable failed client-normalization attempt; no candidate arm measured; not deleted or relabeled; positive efficiency claim remains ineligible for this allocation\\\"", \\\""status\\\"": \\\""INTERRUPTED\\\""}\"",\""finished_ns\"":263574302386372,\""phase\"":\""runtime-protocol-validation\"",\""started_ns\"":263535490720577,\""status\"":\""FAILED\""},{\""bytes_acquired\"":0,\""details\"":\""raw evidence hashing, immutable attempt publication and inventory reconciliation\"",\""finished_ns\"":263574365322166,\""phase\"":\""artifact-finalization\"",\""started_ns\"":263574302386372,\""status\"":\""COMPLETED\""}],\""schema_version\"":1}\n"",""source_receipt_sha256"":""6d9a4d46d03f2771b003b3d7ee3f5e0ae10e88567e8d44a98b2582cd6b58115c"",""source_revision"":""bb4caa7540188872173c44d161602d9271386413""},""ancestor_receipt_file"":""source-setup.json"",""ancestor_receipt_sha256"":""6d9a4d46d03f2771b003b3d7ee3f5e0ae10e88567e8d44a98b2582cd6b58115c"",""cost_boundary"":""This interval measures current verification only. Historical acquisition/build/failure costs remain a separate ancestor scope."",""explanation"":""Reuse and verify historical receipt, admitted profile and pinned source/patch identity; no source acquisition. Exact ancestor bytes and all historical cost records retained."",""newly_acquired_artifact_bytes"":0,""operation"":""reuse-and-verification""}"
confirmation-14b,inherited_or_current_setup,51,model-acquisition,COMPLETED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,286157142765260,286158011483859,0.868718599,0,"{""ancestor_receipt_file"":""source-setup.json"",""ancestor_receipt_sha256"":""6d9a4d46d03f2771b003b3d7ee3f5e0ae10e88567e8d44a98b2582cd6b58115c"",""cost_boundary"":""This interval measures current verification only. Historical acquisition/build/failure costs remain a separate ancestor scope."",""explanation"":""Reuse and stream-verify every already present reviewed model shard; no download or model copy."",""newly_acquired_artifact_bytes"":0,""operation"":""reuse-and-verification""}"
development,inherited_or_current_setup,51,model-acquisition,COMPLETED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,286157142765260,286158011483859,0.868718599,0,"{""ancestor_receipt_file"":""source-setup.json"",""ancestor_receipt_sha256"":""6d9a4d46d03f2771b003b3d7ee3f5e0ae10e88567e8d44a98b2582cd6b58115c"",""cost_boundary"":""This interval measures current verification only. Historical acquisition/build/failure costs remain a separate ancestor scope."",""explanation"":""Reuse and stream-verify every already present reviewed model shard; no download or model copy."",""newly_acquired_artifact_bytes"":0,""operation"":""reuse-and-verification""}"
confirmation-14b,inherited_or_current_setup,52,build,COMPLETED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,286158013960377,286158200084277,0.1861239,0,"{""ancestor_receipt_file"":""source-setup.json"",""ancestor_receipt_sha256"":""6d9a4d46d03f2771b003b3d7ee3f5e0ae10e88567e8d44a98b2582cd6b58115c"",""cost_boundary"":""This interval measures current verification only. Historical acquisition/build/failure costs remain a separate ancestor scope."",""explanation"":""Reuse and verify exact already compiled server bytes against the ancestor; no build, server execution or new backend qualification."",""newly_acquired_artifact_bytes"":0,""operation"":""reuse-and-verification""}"
development,inherited_or_current_setup,52,build,COMPLETED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,286158013960377,286158200084277,0.1861239,0,"{""ancestor_receipt_file"":""source-setup.json"",""ancestor_receipt_sha256"":""6d9a4d46d03f2771b003b3d7ee3f5e0ae10e88567e8d44a98b2582cd6b58115c"",""cost_boundary"":""This interval measures current verification only. Historical acquisition/build/failure costs remain a separate ancestor scope."",""explanation"":""Reuse and verify exact already compiled server bytes against the ancestor; no build, server execution or new backend qualification."",""newly_acquired_artifact_bytes"":0,""operation"":""reuse-and-verification""}"
confirmation-14b,inherited_or_current_setup,53,runtime-admission,COMPLETED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,286174355640611,286176364953799,2.009313188,0,recipe/setup/hardware/prior-cost admission; actual shard and binary verification occurs inside each retained attempt
development,inherited_or_current_setup,53,runtime-admission,COMPLETED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,286174355640611,286176364953799,2.009313188,0,recipe/setup/hardware/prior-cost admission; actual shard and binary verification occurs inside each retained attempt
confirmation-14b,inherited_or_current_setup,54,predecessor-study-attempt,COMPLETED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,286176446889678,286186370953140,9.924063462,0,"{""expected_requests"":8,""observed_requests"":8,""purpose"":""DEVELOPMENT"",""scope"":""prior recipe trial retained, not a cell in this recipe"",""source_attempt_id"":""attempt-727fa77103d2428fafbd14698407f690"",""source_attempt_sha256"":""6fc6f259702f1ed54a3ba18889e16a747ea1647b09731963272e216fc22b39fc"",""source_config_sha256"":""37cc160d896fb7cc67650a70d97cb3d943c5be65a47fb99f192343b5af815896"",""source_recipe_sha256"":""46db99c115954c09232f213466cd1a77985a1ac2155ec2e88f49c69be3e98506"",""source_session_id"":""183adb6a0b1e482a944df3f0e7fed222""}"
development,inherited_or_current_setup,54,predecessor-study-attempt,COMPLETED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,286176446889678,286186370953140,9.924063462,0,"{""expected_requests"":8,""observed_requests"":8,""purpose"":""DEVELOPMENT"",""scope"":""prior recipe trial retained, not a cell in this recipe"",""source_attempt_id"":""attempt-727fa77103d2428fafbd14698407f690"",""source_attempt_sha256"":""6fc6f259702f1ed54a3ba18889e16a747ea1647b09731963272e216fc22b39fc"",""source_config_sha256"":""37cc160d896fb7cc67650a70d97cb3d943c5be65a47fb99f192343b5af815896"",""source_recipe_sha256"":""46db99c115954c09232f213466cd1a77985a1ac2155ec2e88f49c69be3e98506"",""source_session_id"":""183adb6a0b1e482a944df3f0e7fed222""}"
