case_id,model_profile,mechanism,family,context_records,purpose,unique_tables,native_attempts,offered_requests,observed_requests,baseline_correct,baseline_denominator,candidate_correct,candidate_denominator,official_eligible,measured_claim_eligible,official_reasons,raw_audit_status
d1-small-reuse24,qwen2.5-0.5b-instruct-fp16-v2,slice-versus-full-cache-v1,record-reuse,24,DEVELOPMENT,1,4,32,32,2,16,8,16,False,False,"[""development_recipe_not_measurement"", ""one_or_more_attempts_ineligible""]",PASS
d2-large-reuse24,qwen2.5-14b-instruct-fp16-v1,slice-versus-full-cache-v1,record-reuse,24,DEVELOPMENT,1,4,32,32,6,16,2,16,False,False,"[""concurrency_1_pair_0_task_quality_regression"", ""concurrency_1_pair_1_task_quality_regression"", ""development_recipe_not_measurement"", ""one_or_more_attempts_ineligible""]",PASS
h1-small-reuse24,qwen2.5-0.5b-instruct-fp16-v2,slice-versus-full-cache-v1,record-reuse,24,MEASUREMENT,16,4,512,512,110,256,126,256,False,False,"[""one_or_more_attempts_ineligible""]",PASS
h2-small-reuse64,qwen2.5-0.5b-instruct-fp16-v2,slice-versus-full-cache-v1,record-reuse,64,MEASUREMENT,16,4,512,512,94,256,114,256,False,False,"[""one_or_more_attempts_ineligible""]",PASS
h3-large-reuse24,qwen2.5-14b-instruct-fp16-v1,slice-versus-full-cache-v1,record-reuse,24,MEASUREMENT,16,4,512,512,146,256,110,256,False,False,"[""concurrency_1_pair_0_task_quality_regression"", ""concurrency_1_pair_1_task_quality_regression"", ""one_or_more_attempts_ineligible""]",PASS
