study,native_offered,unique_tables,queue_execution_s,attempt_full_wall_s,enclosing_study_span_s,original_allocation_full_wall_ns,scope
feasibility-14b-study03,32,8,468.325690458,464.343599159,465.030172787,20029974920996,"Queue, attempt and allocation scopes overlap; never add them. Only disjoint queue executions are summed across studies."
clarification-0.5b-study04,32,8,54.699974316,50.117869076,50.814678394,20745075203626,"Queue, attempt and allocation scopes overlap; never add them. Only disjoint queue executions are summed across studies."
negative-fit-study04,128,32,208.324388002,201.915859175,203.181116661,24156421095496,"Queue, attempt and allocation scopes overlap; never add them. Only disjoint queue executions are summed across studies."
negative-calibration-study04,128,32,209.725240862,202.129876667,203.389947031,24854942166759,"Queue, attempt and allocation scopes overlap; never add them. Only disjoint queue executions are summed across studies."
negative-budget-control-study04,128,32,212.399073185,203.362188917,204.62619887,25651546379128,"Queue, attempt and allocation scopes overlap; never add them. Only disjoint queue executions are summed across studies."
negative-confirm-slice-study04,512,128,800.03081706,787.023751611,789.819762785,28834886633198,"Queue, attempt and allocation scopes overlap; never add them. Only disjoint queue executions are summed across studies."
negative-confirm-simple-study04,512,128,972.520437157,957.992212965,960.918342515,29882181588889,"Queue, attempt and allocation scopes overlap; never add them. Only disjoint queue executions are summed across studies."
negative-confirm-learned-study04,512,128,1178.974084709,1163.23297205,1166.130470206,31200174988555,"Queue, attempt and allocation scopes overlap; never add them. Only disjoint queue executions are summed across studies."
