study,phase,mechanism,attempt_id,pair_index,arm,offered,correct,accuracy,symbolic_answer_preserved,full_wall_s,service_s,end_to_end_p95_s,ttft_p95_s,prompt_tokens,generated_tokens,slo_qualified,slo_qualified_fraction,goodput_per_second,service_envelope_s,ttft_slo_s,end_to_end_slo_s,quality_pass,eligible,status
negative-budget-control-study04,DEVELOPMENT,matched-budget-slice-v1,attempt-c1c4a58118094a6e9bf482074331a4d8,0,baseline,32,4,0.125,32,66.498162377,64.99215519,62.751796429,62.693186852,8897,140,0,0.0,0.0,64.99215519,15.0,30.0,False,False,COMPLETED
negative-budget-control-study04,DEVELOPMENT,matched-budget-slice-v1,attempt-ecd6824ae5a5461c9eb7bb1a53e5c13f,1,candidate,32,0,0.0,0,34.56587622,32.897725476,31.5714846,31.496840331,3374,137,0,0.0,0.0,32.897725476,15.0,30.0,False,False,COMPLETED
negative-confirm-slice-study04,MEASUREMENT,dependency-slice-v1,attempt-10d60b6b7ddf4b3ea2d330ac2407fa5f,1,candidate,128,34,0.265625,128,131.528670226,129.257793286,122.995106611,122.930745266,13473,550,6,0.046875,0.04641886456102654,129.257793286,15.0,30.0,False,False,COMPLETED
negative-confirm-slice-study04,MEASUREMENT,dependency-slice-v1,attempt-afac8d13924c45eb8e1105e81e36b4fa,0,candidate,128,34,0.265625,128,131.789282664,129.261175423,123.011492211,122.960243382,13473,550,6,0.046875,0.046417650004847426,129.261175423,15.0,30.0,False,False,COMPLETED
negative-confirm-slice-study04,MEASUREMENT,dependency-slice-v1,attempt-d9243ec1ba214342bf8f86e67be0e81d,0,baseline,128,23,0.1796875,128,259.595488736,257.60181957,245.288060012,245.233391735,35257,545,1,0.0078125,0.003881960157227317,257.60181957,15.0,30.0,False,False,COMPLETED
negative-confirm-slice-study04,MEASUREMENT,dependency-slice-v1,attempt-e070505dc1994de9a2d58ce16cbb5c2f,1,baseline,128,23,0.1796875,128,264.110309985,261.757827837,249.459677834,249.404822583,35257,545,1,0.0078125,0.0038203251007366745,261.757827837,15.0,30.0,False,False,COMPLETED
negative-confirm-simple-study04,MEASUREMENT,simple-gated-slice-v1,attempt-110edf66c9bf4d65bb162f74e78ee0cf,0,baseline,128,23,0.1796875,128,260.839589211,258.832217842,246.51976497,246.465682085,35257,545,1,0.0078125,0.003863506669832092,258.832217842,15.0,30.0,False,False,COMPLETED
negative-confirm-simple-study04,MEASUREMENT,simple-gated-slice-v1,attempt-3e7c45a36b06441a8c6069de5b62c01b,1,baseline,128,23,0.1796875,128,260.051535062,257.602830832,245.299464873,245.24457594,35257,545,1,0.0078125,0.0038819449179584783,257.602830832,15.0,30.0,False,False,COMPLETED
negative-confirm-simple-study04,MEASUREMENT,simple-gated-slice-v1,attempt-c65c672183404cf5912414913537ba2f,0,candidate,128,24,0.1875,128,216.654050446,214.51846194,204.229569234,204.180382111,27383,550,3,0.0234375,0.013984810318279684,214.51846194,15.0,30.0,False,False,COMPLETED
negative-confirm-simple-study04,MEASUREMENT,simple-gated-slice-v1,attempt-dfd454c1b79b4785afc4deb4f9320a63,1,candidate,128,24,0.1875,128,220.447038246,218.1434631,207.836866303,207.780093188,27383,550,3,0.0234375,0.01375241759421761,218.1434631,15.0,30.0,False,False,COMPLETED
negative-confirm-learned-study04,MEASUREMENT,learned-gated-slice-v1,attempt-1ccc906a49244dcd9b895392bfd40a5e,0,baseline,128,23,0.1796875,128,276.70367835,274.71798817,262.341076003,262.28263414,35257,545,1,0.0078125,0.003640096546503477,274.71798817,15.0,30.0,False,False,COMPLETED
negative-confirm-learned-study04,MEASUREMENT,learned-gated-slice-v1,attempt-acd2f91d01c34137947cab58c86b21c4,1,baseline,128,23,0.1796875,128,344.615050524,342.21685521,325.786609225,325.719786288,35257,545,1,0.0078125,0.0029221237492418482,342.21685521,15.0,30.0,False,False,COMPLETED
negative-confirm-learned-study04,MEASUREMENT,learned-gated-slice-v1,attempt-b4155f19ca25470ea05814baab7cca7a,1,candidate,128,23,0.1796875,128,273.294995274,270.986119306,257.570981518,257.508106095,35257,545,1,0.0078125,0.0036902259147480205,270.986119306,15.0,30.0,False,False,COMPLETED
negative-confirm-learned-study04,MEASUREMENT,learned-gated-slice-v1,attempt-e0a653d1b6f94c19b4ddc4eae6e8eabe,0,candidate,128,23,0.1796875,128,268.619247902,266.431778612,253.033206753,252.971276377,35257,545,1,0.0078125,0.0037533060253157062,266.431778612,15.0,30.0,False,False,COMPLETED
